Review ID,Effect Size ID,Within Effect ID,Study Author,Study Year,Study First Page #,Study N,Estimate,Metric,Lower CI,Upper CI,Standard Error,Standard Deviation,Variance,p-value,N Intervention,N Control,Number of Events in Exposure(for OR/RR),Number of Events in Comparison (for OR/RR),Reverse Code
48113,48113_013,48113_013_010,Haerens,2006,911,1157,0.27,Standard Mean Difference,0.12,0.42,-999,-999,-999,-999,943,214,-999,-999,FALSE
48113,48113_013,48113_013_011,Frenn,2003,1,103,0.45,Standard Mean Difference,0.06,0.85,-999,-999,-999,-999,43,60,-999,-999,FALSE
48113,48113_013,48113_013_012,Frenn,2005,13,91,1.11,Standard Mean Difference,0.65,1.58,-999,-999,-999,-999,31,60,-999,-999,FALSE
48113,48113_016,48113_016_001,Lana,2014,54,493,3.63,Standard Mean Difference,0.66,20.02,-999,-999,-999,-999,177,316,-999,-999,FALSE
48113,48113_016,48113_016_002,Lana,2014,54,560,2.62,Standard Mean Difference,0.48,14.41,-999,-999,-999,-999,244,316,-999,-999,FALSE
48113,48113_016,48113_016_003,Bannink,2014,e143,826,0.87,Standard Mean Difference,0.61,1.24,-999,-999,-999,-999,392,434,-999,-999,FALSE
48113,48113_016,48113_016_004,Bannink,2014,e143,864,0.89,Standard Mean Difference,0.63,1.26,-999,-999,-999,-999,430,434,-999,-999,FALSE
48113,48113_016,48113_016_005,Malmberg,2014,1031,1515,1.5,Standard Mean Difference,1.22,1.84,-999,-999,-999,-999,823,692,-999,-999,FALSE
48113,48113_016,48113_016_006,Malmberg,2014,1031,1517,1.43,Standard Mean Difference,1.16,1.75,-999,-999,-999,-999,825,692,-999,-999,FALSE
47569,47569_001,47569_001_001,García-Hermoso,2017,44,199,-0.84,Cohen's d,-1.17,-0.51,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_002,García-Hermoso,2017,44,196,-0.18,Cohen's d,-0.48,0.11,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_003,Kiatrungrit,2014,216,768,-0.08,Cohen's d,-0.22,0.06,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_004,Morita,2016,161,163,-0.5,Cohen's d,-0.81,-0.18,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_005,Morita,2016,161,152,-0.07,Cohen's d,-0.39,0.25,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_006,Peiró-Velert,2014,e99478,3095,-1.32,Cohen's d,-1.39,-1.24,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_007,Regondola,2017,216,-999,-1.8,Cohen's d,-3.35,-0.25,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_008,Regondola,2017,216,-999,-0.26,Cohen's d,-1.31,0.79,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_009,Regondola,2017,216,-999,-0.39,Cohen's d,-1.71,0.93,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_010,Regondola,2017,216,-999,0.72,Cohen's d,-0.21,1.65,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_011,Regondola,2017,216,-999,0.26,Cohen's d,-0.83,1.35,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_012,Regondola,2017,216,-999,0.45,Cohen's d,-0.75,1.65,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_013,Regondola,2017,216,-999,0.16,Cohen's d,-0.93,1.25,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_014,Regondola,2017,216,-999,-0.63,Cohen's d,-1.79,0.53,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_015,Regondola,2017,216,-999,0.06,Cohen's d,-1.07,0.95,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
47569,47569_001,47569_001_016,Regondola,2017,216,-999,0.28,Cohen's d,0.85,1.42,-999,-999,-999,-999,-999,-999,-999,-999,TRUE
